from_ip,to_ip,token
0.1.98.80,0.1.98.84,-1940239555190788933
0.1.98.86,0.1.98.95,-1940239555189788939
0.1.98.96,0.1.98.99,-1940239555192788938
0.1.98.100,0.1.98.109,-1940239555191788939
0.1.98.111,0.1.98.114,-1940239555191788930
0.1.98.116,0.1.98.125,-1940239555186788946
0.1.98.127,0.1.98.137,-1940239555188788936
0.1.98.139,0.1.98.142,-1940239555188788929
0.1.98.144,0.1.98.144,-1940239555188788943
0.1.98.145,0.1.98.146,-1940239555187788934
0.1.98.148,0.1.98.149,-1940239555187788935
0.1.98.151,0.1.98.159,-1940239555182788952
0.1.98.161,0.1.98.170,-1940239555181788976
0.1.98.172,0.1.98.181,-1940236555172788975
0.1.98.183,0.1.98.186,-1940236555173788949
0.1.98.188,0.1.98.196,-1940236555174788946
0.1.98.198,0.1.98.207,-1940236555175788948
0.1.98.208,0.1.98.212,-1940236555175788949
0.1.98.213,0.1.98.221,-1940236555168788963
0.1.98.223,0.1.98.232,-1940236555169788967
0.1.98.234,0.1.98.244,-1940236555170788966
0.1.98.245,0.1.98.249,-1940236555171788974
0.1.98.250,0.1.98.254,-1940236555171788967
0.1.99.0,0.1.99.0,-1940236555180788932
0.1.99.1,0.1.99.5,-1940236555180788935
0.1.99.6,0.1.99.14,-1940236555181788937
0.1.99.16,0.1.99.26,-1940237555178788949
0.1.99.27,0.1.99.35,-1940237555177788949
0.1.99.37,0.1.99.37,-1940237555177788951
0.1.99.39,0.1.99.46,-1940237555176788947
0.1.99.48,0.1.99.58,-1940237555175788964
0.1.99.59,0.1.99.60,-1940237555174788975
0.1.99.62,0.1.99.65,-1940237555174788972
0.1.99.67,0.1.99.77,-1940237555173788971
0.1.99.78,0.1.99.82,-1940237555172788963
0.1.99.84,0.1.99.92,-1940237555171788966
0.1.99.93,0.1.99.96,-1940237555171788962
0.1.99.98,0.1.99.103,-1940237555186788938
0.1.99.105,0.1.99.108,-1940237555186788931
0.1.99.109,0.1.99.112,-1940237555185788940
0.1.99.113,0.1.99.123,-2940221555055788760
0.1.99.124,0.1.99.132,-2940221555054788778
0.1.99.134,0.1.99.142,-2940221555057788753
0.1.99.143,0.1.99.146,-2940221555057788757
0.1.99.147,0.1.99.147,-2940221555057788758
0.1.99.149,0.1.99.150,-2940221555056788754
0.1.99.152,0.1.99.160,-2940221555051788769
0.1.99.161,0.1.99.165,-2940221555051788774
0.1.99.166,0.1.99.174,-2940221555050788772
0.1.99.176,0.1.99.180,-2940221555053788783
0.1.99.182,0.1.99.182,-2940221555053788781
0.1.99.184,0.1.99.191,-2940221555052788781
0.1.99.193,0.1.99.197,-2940221555052788779
0.1.99.198,0.1.99.203,-2940221555063788752
0.1.99.204,0.1.99.204,-2940221555063788745
0.1.99.205,0.1.99.209,-2940221555063788742
0.1.99.210,0.1.99.214,-2940221555062788744
0.1.99.216,0.1.99.216,-2940221555062788742
0.1.99.217,0.1.99.220,-2940220555049788782
0.1.99.221,0.1.99.223,-2940220555049788783
0.1.99.225,0.1.99.228,-2940220555049788774
0.1.99.229,0.1.99.235,-2940220555050788780
0.1.99.237,0.1.99.245,-2940220555047788771
0.1.99.247,0.1.99.250,-2940220555048788769
0.1.99.252,0.1.100.5,-2940220555053788753
0.1.100.7,0.1.100.14,-2940220555054788755
0.1.100.16,0.1.100.23,-2940220555054788764
0.1.100.25,0.1.100.33,-2940220555051788771
0.1.100.35,0.1.100.45,-2940220555057788741
0.1.100.46,0.1.100.50,-2940220555057788740
0.1.100.51,0.1.100.60,-2940220555058788737
0.1.100.61,0.1.100.66,-2940223555067788741
0.1.100.68,0.1.100.76,-2940223555066788744
0.1.100.77,0.1.100.79,-2940223555066788737
0.1.100.80,0.1.100.86,-2940223555065788763
0.1.100.88,0.1.100.93,-2940223555065788754
0.1.100.94,0.1.100.94,-2940223555064788768
0.1.100.96,0.1.100.102,-2940223555064788760
0.1.100.104,0.1.100.107,-2940223555071788746
0.1.100.108,0.1.100.117,-2940223555070788747
0.1.100.118,0.1.100.123,-2940223555070788737
0.1.100.124,0.1.100.134,-2940223555068788740
0.1.100.136,0.1.100.138,-2940223555068788744
0.1.100.139,0.1.100.144,-2940223555059788783
0.1.100.146,0.1.100.147,-2940223555059788782
0.1.100.149,0.1.100.150,-2940223555059788777
0.1.100.151,0.1.100.161,-2940223555058788779
0.1.100.162,0.1.100.164,-2940222555061788768
0.1.100.166,0.1.100.176,-2940222555062788763
0.1.100.178,0.1.100.178,-2940222555062788765
0.1.100.180,0.1.100.183,-2940222555062788754
0.1.100.185,0.1.100.187,-2940222555063788743
0.1.100.189,0.1.100.190,-2940222555063788740
0.1.100.192,0.1.100.192,-2940222555063788750
0.1.100.193,0.1.100.198,-2940222555064788739
0.1.100.200,0.1.100.202,-2940222555064788751
0.1.100.203,0.1.100.203,-2940222555064788752
0.1.100.204,0.1.100.207,-2940222555065788737
0.1.100.209,0.1.100.212,-2940222555065788748
0.1.100.213,0.1.100.223,-2940222555066788742
0.1.100.224,0.1.100.227,-2940222555067788747
0.1.100.229,0.1.100.232,-2940222555067788738
0.1.100.233,0.1.100.238,-2940222555068788751
0.1.100.240,0.1.100.246,-2940222555053788774
0.1.100.247,0.1.100.253,-2940222555053788783
0.1.100.254,0.1.101.5,-2940222555054788776
0.1.101.6,0.1.101.15,-2940225555047788696
0.1.101.16,0.1.101.20,-2940225555046788694
0.1.101.21,0.1.101.30,-2940225555049788701
0.1.101.32,0.1.101.38,-2940225555048788702
0.1.101.39,0.1.101.48,-2940225555051788677
0.1.101.50,0.1.101.53,-2940225555051788674
0.1.101.54,0.1.101.57,-2940225555051788686
0.1.101.59,0.1.101.62,-2940225555050788704
0.1.101.64,0.1.101.67,-2940225555050788691
0.1.101.68,0.1.101.73,-2940225555053788680
0.1.101.75,0.1.101.85,-2940225555052788679
0.1.101.86,0.1.101.89,-2940225555055788682
0.1.101.91,0.1.101.92,-2940225555055788685
0.1.101.93,0.1.101.99,-2940225555054788687
0.1.101.100,0.1.101.102,-2940225555054788684
0.1.101.103,0.1.101.113,-2940224555073788749
0.1.101.114,0.1.101.118,-2940224555074788747
0.1.101.120,0.1.101.125,-2940224555074788750
0.1.101.126,0.1.101.127,-2940224555074788740
0.1.101.128,0.1.101.131,-2940224555071788737
0.1.101.132,0.1.101.136,-2940224555071788748
0.1.101.138,0.1.101.147,-2940224555072788742
0.1.101.148,0.1.101.149,-2940224555069788741
0.1.101.151,0.1.101.161,-2940224555070788742
0.1.101.162,0.1.101.166,-2940224555070788751
0.1.101.167,0.1.101.171,-2940224555067788765
0.1.101.173,0.1.101.182,-2940224555068788765
0.1.101.184,0.1.101.187,-2940224555068788754
0.1.101.189,0.1.101.199,-2940224555066788756
0.1.101.200,0.1.101.206,-2940224555066788763
0.1.101.207,0.1.101.213,-2940227555059788680
0.1.101.215,0.1.101.217,-2940227555059788684
0.1.101.219,0.1.101.229,-2940227555057788678
0.1.101.231,0.1.101.238,-2940227555056788700
0.1.101.240,0.1.101.246,-2940227555056788692
0.1.101.247,0.1.101.255,-2940227555055788698
0.1.102.0,0.1.102.4,-2940227555054788704
0.1.102.6,0.1.102.6,-2940227555054788698
0.1.102.8,0.1.102.9,-2940227555054788699
0.1.102.11,0.1.102.16,-2940227555053788693
0.1.102.18,0.1.102.26,-2940227555052788692
0.1.102.27,0.1.102.37,-2940227555067788800
0.1.102.39,0.1.102.47,-2940227555066788797
0.1.102.49,0.1.102.54,-2940226555053788698
0.1.102.56,0.1.102.62,-2940226555054788677
0.1.102.63,0.1.102.66,-2940226555054788673
0.1.102.67,0.1.102.72,-2940226555055788674
0.1.102.74,0.1.102.76,-2940226555055788678
0.1.102.78,0.1.102.87,-2940226555056788680
0.1.102.88,0.1.102.95,-2940226555049788693
0.1.102.96,0.1.102.103,-2940226555050788690
0.1.102.104,0.1.102.110,-2940226555050788697
0.1.102.112,0.1.102.115,-2940226555051788703
0.1.102.116,0.1.102.119,-2940226555051788699
0.1.102.120,0.1.102.121,-2940226555051788693
0.1.102.122,0.1.102.129,-2940226555052788698
0.1.102.131,0.1.102.141,-2940226555061788795
0.1.102.143,0.1.102.149,-2940226555062788796
0.1.102.151,0.1.102.155,-2940229555071788800
0.1.102.156,0.1.102.158,-2940229555071788795
0.1.102.160,0.1.102.160,-2940229555071788789
0.1.102.161,0.1.102.165,-2940229555070788785
0.1.102.167,0.1.102.167,-2940229555070788791
0.1.102.168,0.1.102.168,-2940229555070788790
0.1.102.169,0.1.102.172,-2940229555073788795
0.1.102.173,0.1.102.174,-2940229555073788793
0.1.102.175,0.1.102.179,-2940229555073788798
0.1.102.181,0.1.102.189,-2940229555072788799
0.1.102.190,0.1.102.197,-2940229555067788686
0.1.102.199,0.1.102.201,-2940229555067788674
0.1.102.203,0.1.102.208,-2940229555066788682
0.1.102.210,0.1.102.212,-2940229555069788791
0.1.102.213,0.1.102.223,-2940229555068788789
0.1.102.225,0.1.102.226,-2940229555068788786
0.1.102.228,0.1.102.235,-2940229555063788680
0.1.102.237,0.1.102.241,-2940229555063788686
0.1.102.243,0.1.102.248,-2940229555062788702
0.1.102.249,0.1.103.2,-2940228555065788788
0.1.103.3,0.1.103.5,-2940228555065788797
0.1.103.7,0.1.103.13,-2940228555066788786
0.1.103.15,0.1.103.19,-2940228555063788685
0.1.103.20,0.1.103.21,-2940228555063788683
0.1.103.23,0.1.103.23,-2940228555063788681
0.1.103.25,0.1.103.29,-2940228555064788684
0.1.103.31,0.1.103.33,-2940228555064788688
0.1.103.34,0.1.103.36,-2940228555069788794
0.1.103.38,0.1.103.46,-2940228555070788795
0.1.103.48,0.1.103.55,-2940228555070788788
0.1.103.56,0.1.103.56,-2940228555067788788
0.1.103.57,0.1.103.64,-2940228555067788796
0.1.103.66,0.1.103.68,-2940228555068788799
0.1.103.70,0.1.103.72,-2940228555068788795
0.1.103.73,0.1.103.73,-2940228555068788796
0.1.103.75,0.1.103.81,-2940228555057788697
0.1.103.83,0.1.103.87,-2940228555058788704
0.1.103.89,0.1.103.92,-2940228555058788697
0.1.103.93,0.1.103.98,-3940230555082788748
0.1.103.100,0.1.103.109,-3940230555083788746
0.1.103.110,0.1.103.118,-3940230555080788738
0.1.103.119,0.1.103.119,-3940230555080788737
0.1.103.120,0.1.103.124,-3940230555080788748
0.1.103.125,0.1.103.125,-3940230555080788747
0.1.103.126,0.1.103.128,-3940230555081788751
0.1.103.130,0.1.103.139,-3940230555078788743
0.1.103.140,0.1.103.149,-3940230555079788742
0.1.103.151,0.1.103.151,-3940230555079788740
0.1.103.153,0.1.103.160,-3940230555076788764
0.1.103.161,0.1.103.168,-3940230555077788763
0.1.103.170,0.1.103.177,-3940230555074788753
0.1.103.178,0.1.103.178,-3940230555074788756
0.1.103.179,0.1.103.183,-3940230555074788759
0.1.103.185,0.1.103.189,-3940230555075788754
0.1.103.190,0.1.103.196,-3940231555056788689
0.1.103.197,0.1.103.198,-3940231555056788691
0.1.103.200,0.1.103.203,-3940231555056788696
0.1.103.204,0.1.103.212,-3940231555055788690
0.1.103.213,0.1.103.218,-3940231555058788701
0.1.103.220,0.1.103.221,-3940231555058788700
0.1.103.222,0.1.103.226,-3940231555057788702
0.1.103.228,0.1.103.229,-3940231555057788703
0.1.103.230,0.1.103.231,-3940231555057788697
0.1.103.233,0.1.103.236,-3940231555060788677
0.1.103.237,0.1.103.241,-3940231555060788674
0.1.103.242,0.1.103.242,-3940231555060788675
0.1.103.244,0.1.103.244,-3940231555060788685
0.1.103.246,0.1.103.252,-3940231555059788702
0.1.103.254,0.1.104.1,-3940231555062788676
0.1.104.2,0.1.104.6,-3940231555062788677
0.1.104.7,0.1.104.7,-3940231555062788678
0.1.104.9,0.1.104.12,-3940231555061788676
0.1.104.14,0.1.104.15,-3940231555061788677
0.1.104.17,0.1.104.26,-3940231555064788687
0.1.104.28,0.1.104.38,-3940231555063788680
0.1.104.39,0.1.104.48,-3940232555062788692
0.1.104.50,0.1.104.56,-3940232555063788675
0.1.104.57,0.1.104.58,-3940232555063788685
0.1.104.59,0.1.104.66,-3940232555064788680
0.1.104.68,0.1.104.69,-3940232555064788681
0.1.104.71,0.1.104.76,-3940232555065788677
0.1.104.77,0.1.104.87,-3940232555058788689
0.1.104.89,0.1.104.99,-3940232555059788698
0.1.104.100,0.1.104.107,-3940232555060788699
0.1.104.108,0.1.104.117,-3940232555061788698
0.1.104.119,0.1.104.127,-3940232555070788789
0.1.104.128,0.1.104.134,-3940232555071788793
0.1.104.135,0.1.104.144,-3940233555068788679
0.1.104.146,0.1.104.149,-3940233555068788684
0.1.104.151,0.1.104.157,-3940233555067788679
0.1.104.158,0.1.104.159,-3940233555067788681
0.1.104.161,0.1.104.165,-3940233555066788674
0.1.104.167,0.1.104.174,-3940233555065788704
0.1.104.176,0.1.104.183,-3940233555064788702
0.1.104.185,0.1.104.192,-3940233555063788704
0.1.104.193,0.1.104.201,-3940233555062788690
0.1.104.203,0.1.104.209,-3940233555062788698
0.1.104.211,0.1.104.211,-3940233555061788695
0.1.104.213,0.1.104.218,-3940233555061788704
0.1.104.220,0.1.104.221,-3940233555076788796
0.1.104.223,0.1.104.233,-3940233555075788795
0.1.104.235,0.1.104.243,-3940226555058788783
0.1.104.244,0.1.104.246,-3940226555058788780
0.1.104.248,0.1.104.254,-3940226555059788779
0.1.105.0,0.1.105.9,-3940226555056788771
0.1.105.11,0.1.105.14,-3940226555057788769
0.1.105.16,0.1.105.16,-3940226555057788771
0.1.105.18,0.1.105.23,-3940226555057788778
0.1.105.25,0.1.105.27,-3940226555062788755
0.1.105.28,0.1.105.38,-3940226555063788759
0.1.105.39,0.1.105.43,-3940226555063788764
0.1.105.44,0.1.105.44,-3940226555060788780
0.1.105.46,0.1.105.47,-3940226555060788777
0.1.105.48,0.1.105.51,-3940226555060788781
0.1.105.53,0.1.105.57,-3940226555061788760
0.1.105.59,0.1.105.69,-3940226555066788737
0.1.105.71,0.1.105.75,-3940226555067788744
0.1.105.77,0.1.105.82,-3940226555067788751
0.1.105.83,0.1.105.89,-3940227555064788754
0.1.105.90,0.1.105.90,-3940227555064788755
0.1.105.91,0.1.105.98,-3940227555063788784
0.1.105.100,0.1.105.102,-3940227555063788772
0.1.105.104,0.1.105.114,-3940227555065788754
0.1.105.116,0.1.105.124,-3940227555060788769
0.1.105.126,0.1.105.135,-3940227555059788775
0.1.105.137,0.1.105.147,-3940227555062788782
0.1.105.149,0.1.105.158,-3940227555061788778
0.1.105.160,0.1.105.162,-3940227555061788774
0.1.105.163,0.1.105.163,-3940227555061788773
0.1.105.164,0.1.105.172,-3940227555072788741
0.1.105.173,0.1.105.180,-3940227555071788742
0.1.105.181,0.1.105.184,-3940228555070788768
0.1.105.186,0.1.105.189,-3940228555070788763
0.1.105.190,0.1.105.195,-3940228555071788762
0.1.105.197,0.1.105.198,-3940228555071788765
0.1.105.199,0.1.105.208,-3940228555072788738
0.1.105.210,0.1.105.214,-3940228555073788743
0.1.105.216,0.1.105.221,-3940228555073788738
0.1.105.222,0.1.105.223,-3940228555073788752
0.1.105.225,0.1.105.225,-3940228555074788739
0.1.105.226,0.1.105.228,-3940228555074788744
0.1.105.230,0.1.105.235,-3940228555075788750
0.1.105.237,0.1.105.237,-3940228555075788752
0.1.105.238,0.1.105.243,-3940228555075788742
0.1.105.245,0.1.105.253,-3940228555076788737
0.1.105.255,0.1.106.8,-3940228555062788776
0.1.106.9,0.1.106.14,-3940228555062788770
0.1.106.16,0.1.106.24,-3940228555063788775
0.1.106.25,0.1.106.35,-3940229555076788738
0.1.106.36,0.1.106.42,-3940229555075788738
0.1.106.44,0.1.106.49,-3940229555074788762
0.1.106.50,0.1.106.52,-3940229555074788765
0.1.106.54,0.1.106.58,-3940229555073788768
0.1.106.59,0.1.106.61,-3940229555073788765
0.1.106.62,0.1.106.69,-3940229555080788748
0.1.106.70,0.1.106.72,-3940229555080788751
0.1.106.73,0.1.106.77,-3940229555080788740
0.1.106.78,0.1.106.79,-3940229555079788745
0.1.106.80,0.1.106.84,-3940229555079788752
0.1.106.85,0.1.106.92,-3940229555078788745
0.1.106.93,0.1.106.97,-3940229555078788742
0.1.106.98,0.1.106.108,-3940229555068788783
0.1.106.110,0.1.106.112,-3940229555068788779
0.1.106.113,0.1.106.114,-3940229555068788777
0.1.106.116,0.1.106.117,-3940229555068788776
0.1.106.118,0.1.106.125,-3940229555067788779
0.1.106.127,0.1.106.131,-3940238555066788723
0.1.106.132,0.1.106.136,-3940238555066788730
0.1.106.137,0.1.106.140,-3940238555067788721
0.1.106.142,0.1.106.146,-3940238555067788731
0.1.106.148,0.1.106.157,-3940238555064788611
0.1.106.158,0.1.106.161,-3940238555065788728
0.1.106.163,0.1.106.172,-3940238555062788618
0.1.106.174,0.1.106.183,-3940238555063788620
0.1.106.184,0.1.106.185,-3940238555063788618
0.1.106.187,0.1.106.189,-3940238555060788615
0.1.106.191,0.1.106.193,-3940238555060788611
0.1.106.194,0.1.106.199,-3940238555061788610
0.1.106.200,0.1.106.207,-3940238555061788618
0.1.106.208,0.1.106.208,-3940238555074788714
0.1.106.209,0.1.106.211,-3940238555074788715
0.1.106.213,0.1.106.215,-3940238555074788719
0.1.106.216,0.1.106.216,-3940238555074788706
0.1.106.217,0.1.106.226,-3940238555075788707
0.1.106.227,0.1.106.229,-3940239555072788730
0.1.106.231,0.1.106.235,-3940239555072788736
0.1.106.237,0.1.106.240,-3940239555071788734
0.1.106.242,0.1.106.248,-3940239555074788711
0.1.106.250,0.1.106.255,-3940239555074788706
0.1.107.1,0.1.107.10,-3940239555073788718
0.1.107.12,0.1.107.14,-3940239555076788719
0.1.107.15,0.1.107.15,-3940239555076788720
0.1.107.17,0.1.107.21,-3940239555076788710
0.1.107.23,0.1.107.26,-3940239555075788712
0.1.107.27,0.1.107.27,-3940239555075788711
0.1.107.29,0.1.107.32,-3940239555078788715
0.1.107.33,0.1.107.35,-3940239555078788714
0.1.107.37,0.1.107.47,-3940239555077788717
0.1.107.48,0.1.107.48,-3940239555077788720
0.1.107.50,0.1.107.54,-3940239555064788611
0.1.107.55,0.1.107.59,-3940239555064788616
0.1.107.60,0.1.107.60,-3940239555064788617
0.1.107.61,0.1.107.64,-3940239555063788614
0.1.107.65,0.1.107.70,-3940239555063788624
0.1.107.71,0.1.107.72,-4940239555077788675
0.1.107.73,0.1.107.74,-4940239555077788673
0.1.107.76,0.1.107.76,-4940239555077788679
0.1.107.77,0.1.107.77,-4940239555077788680
0.1.107.78,0.1.107.81,-4940239555077788684
0.1.107.82,0.1.107.83,-4940239555076788673
0.1.107.85,0.1.107.90,-4940239555076788682
0.1.107.92,0.1.107.101,-4940239555075788686
0.1.107.102,0.1.107.103,-4940239555074788699
0.1.107.104,0.1.107.110,-4940239555074788692
0.1.107.111,0.1.107.113,-4940239555073788704
0.1.107.114,0.1.107.124,-4940239555072788704
0.1.107.126,0.1.107.134,-4940239555071788691
0.1.107.135,0.1.107.136,-4940239555071788693
0.1.107.138,0.1.107.145,-4940239555070788693
0.1.107.146,0.1.107.155,-4940239555085788794
0.1.107.156,0.1.107.162,-4940239555084788794
0.1.107.164,0.1.107.168,-4940239555084788800
0.1.107.170,0.1.107.175,-4940238555071788697
0.1.107.176,0.1.107.180,-4940238555071788692
0.1.107.181,0.1.107.191,-4940238555072788686
0.1.107.193,0.1.107.199,-4940238555073788679
0.1.107.201,0.1.107.204,-4940238555074788673
0.1.107.206,0.1.107.206,-4940238555074788679
0.1.107.207,0.1.107.208,-4940238555074788677
0.1.107.210,0.1.107.219,-4940238555067788689
0.1.107.221,0.1.107.229,-4940238555068788696
0.1.107.230,0.1.107.232,-4940238555069788702
0.1.107.234,0.1.107.239,-4940238555069788699
0.1.107.241,0.1.107.249,-4940238555070788698
0.1.107.250,0.1.108.1,-4940238555079788791
0.1.108.3,0.1.108.11,-4940238555080788794
0.1.108.13,0.1.108.18,-4940237555065788691
0.1.108.19,0.1.108.28,-4940237555064788694
0.1.108.29,0.1.108.32,-4940237555064788690
0.1.108.34,0.1.108.40,-4940237555067788699
0.1.108.42,0.1.108.47,-4940237555066788701
0.1.108.49,0.1.108.49,-4940237555066788703
0.1.108.50,0.1.108.55,-4940237555066788693
0.1.108.56,0.1.108.62,-4940237555069788675
0.1.108.63,0.1.108.73,-4940237555068788701
0.1.108.75,0.1.108.80,-4940237555071788679
0.1.108.82,0.1.108.83,-4940237555071788678
0.1.108.85,0.1.108.86,-4940237555070788674
0.1.108.87,0.1.108.91,-4940237555070788677
0.1.108.93,0.1.108.94,-4940237555070788682
0.1.108.95,0.1.108.104,-4940237555073788673
0.1.108.106,0.1.108.107,-4940237555072788687
0.1.108.108,0.1.108.109,-4940237555072788685
0.1.108.110,0.1.108.119,-4940236555091788747
0.1.108.121,0.1.108.124,-4940236555091788738
0.1.108.125,0.1.108.128,-4940236555092788745
0.1.108.130,0.1.108.135,-4940236555092788740
0.1.108.136,0.1.108.145,-4940236555089788747
0.1.108.146,0.1.108.148,-4940236555090788751
0.1.108.150,0.1.108.154,-4940236555090788741
0.1.108.156,0.1.108.166,-4940236555088788743
0.1.108.167,0.1.108.177,-4940236555085788767
0.1.108.178,0.1.108.178,-4940236555085788766
0.1.108.180,0.1.108.183,-4940236555085788761
0.1.108.185,0.1.108.187,-4940236555086788762
0.1.108.189,0.1.108.197,-4940236555083788753
0.1.108.198,0.1.108.198,-4940236555083788756
0.1.108.200,0.1.108.207,-4940236555084788756
0.1.108.209,0.1.108.212,-4940236555084788757
0.1.108.213,0.1.108.213,-4940236555084788758
0.1.108.214,0.1.108.216,-4940235555085788743
0.1.108.217,0.1.108.224,-4940235555085788751
0.1.108.226,0.1.108.227,-4940235555084788741
0.1.108.229,0.1.108.232,-4940235555084788740
0.1.108.233,0.1.108.243,-4940235555083788768
0.1.108.245,0.1.108.255,-4940235555082788759
0.1.109.0,0.1.109.10,-4940235555088788746
0.1.109.11,0.1.109.12,-4940235555088788748
0.1.109.13,0.1.109.22,-4940235555087788751
0.1.109.24,0.1.109.34,-4940235555086788744
0.1.109.36,0.1.109.37,-4940235555086788741
0.1.109.38,0.1.109.48,-4940235555077788775
0.1.109.50,0.1.109.58,-4940235555076788774
0.1.109.59,0.1.109.63,-4940234555079788765
0.1.109.64,0.1.109.69,-4940234555079788759
0.1.109.70,0.1.109.77,-4940234555080788768
0.1.109.78,0.1.109.88,-4940234555081788750
0.1.109.89,0.1.109.95,-4940234555082788740
0.1.109.96,0.1.109.105,-4940234555083788743
0.1.109.107,0.1.109.111,-4940234555084788750
0.1.109.112,0.1.109.118,-4940234555084788741
0.1.109.120,0.1.109.127,-4940234555085788751
0.1.109.129,0.1.109.138,-4940234555086788739
0.1.109.139,0.1.109.148,-4940234555071788784
0.1.109.149,0.1.109.156,-4940234555072788775
0.1.109.158,0.1.109.162,-4940233555073788759
0.1.109.163,0.1.109.166,-4940233555073788755
0.1.109.168,0.1.109.175,-4940233555072788783
0.1.109.177,0.1.109.182,-4940233555075788753
0.1.109.183,0.1.109.191,-4940233555074788753
0.1.109.192,0.1.109.196,-4940233555074788760
0.1.109.197,0.1.109.202,-4940233555069788771
0.1.109.203,0.1.109.203,-4940233555069788772
0.1.109.204,0.1.109.211,-4940233555068788775
0.1.109.213,0.1.109.218,-4940233555068788784
0.1.109.219,0.1.109.222,-4940233555071788781
0.1.109.224,0.1.109.230,-4940233555070788782
0.1.109.232,0.1.109.240,-4940233555081788749
0.1.109.241,0.1.109.243,-4940233555081788752
0.1.109.245,0.1.109.247,-4940233555081788748
0.1.109.249,0.1.109.255,-4940233555080788743
0.1.110.0,0.1.110.5,-4940232555067788781
0.1.110.7,0.1.110.8,-4940232555067788778
0.1.110.10,0.1.110.11,-4940232555067788779
0.1.110.12,0.1.110.15,-4940232555068788784
0.1.110.16,0.1.110.23,-4940232555068788776
0.1.110.24,0.1.110.26,-4940232555065788774
0.1.110.27,0.1.110.28,-4940232555065788772
0.1.110.30,0.1.110.38,-4940232555066788773
0.1.110.40,0.1.110.45,-4940232555071788753
0.1.110.46,0.1.110.49,-4940232555071788757
0.1.110.51,0.1.110.56,-4940232555072788753
0.1.110.57,0.1.110.66,-4940232555069788778
0.1.110.68,0.1.110.76,-4940232555070788759
0.1.110.78,0.1.110.86,-4940232555075788744
0.1.110.87,0.1.110.92,-4940232555075788750
0.1.110.93,0.1.110.102,-4940232555076788751
0.1.110.104,0.1.110.109,-4940247555093788720
0.1.110.110,0.1.110.118,-4940247555092788718
0.1.110.120,0.1.110.128,-4940247555091788713
0.1.110.129,0.1.110.132,-4940247555091788709
0.1.110.133,0.1.110.140,-4940247555090788710
0.1.110.142,0.1.110.150,-4940247555089788705
0.1.110.152,0.1.110.162,-4940247555088788718
0.1.110.164,0.1.110.166,-4940247555087788731
0.1.110.168,0.1.110.170,-4940247555087788735
0.1.110.171,0.1.110.177,-4940247555086788733
0.1.110.179,0.1.110.186,-4940247555085788721
0.1.110.187,0.1.110.191,-4940247555085788726
0.1.110.192,0.1.110.197,-4940247555084788723
0.1.110.199,0.1.110.206,-4940246555087788706
0.1.110.208,0.1.110.214,-4940246555088788717
0.1.110.215,0.1.110.216,-4940246555088788719
0.1.110.218,0.1.110.222,-4940246555088788709
0.1.110.223,0.1.110.224,-4940246555089788714
0.1.110.226,0.1.110.230,-4940246555089788720
0.1.110.231,0.1.110.233,-4940246555089788705
0.1.110.235,0.1.110.244,-4940246555083788736
0.1.110.245,0.1.110.245,-4940246555083788735
0.1.110.246,0.1.110.247,-4940246555083788733
0.1.110.249,0.1.110.253,-4940246555083788727
0.1.110.255,0.1.111.4,-4940246555084788735
0.1.111.6,0.1.111.15,-4940246555085788707
0.1.111.17,0.1.111.19,-4940246555086788712
0.1.111.21,0.1.111.27,-4940246555086788720
0.1.111.29,0.1.111.37,-4940246555079788611
0.1.111.38,0.1.111.46,-4940246555080788733
0.1.111.47,0.1.111.57,2059791444983211353
0.1.111.59,0.1.111.59,2059791444982211350
0.1.111.60,0.1.111.65,2059791444982211344
0.1.111.66,0.1.111.67,2059791444982211358
0.1.111.69,0.1.111.74,2059791444981211372
0.1.111.75,0.1.111.80,2059791444980211371
0.1.111.82,0.1.111.88,2059791444979211372
0.1.111.89,0.1.111.97,2059791444979211365
0.1.111.99,0.1.111.104,2059791444978211365
0.1.111.105,0.1.111.108,2059791444977211366
0.1.111.109,0.1.111.118,2059791444976211365
0.1.111.119,0.1.111.127,2059791444976211372
0.1.111.128,0.1.111.129,2059791444991211337
0.1.111.131,0.1.111.132,2059791444991211340
0.1.111.133,0.1.111.138,2059791444990211343
0.1.111.140,0.1.111.144,2059791444990211337
0.1.111.145,0.1.111.151,2059790444977211370
0.1.111.152,0.1.111.156,2059790444977211361
0.1.111.158,0.1.111.166,2059790444978211362
0.1.111.168,0.1.111.169,2059790444979211350
0.1.111.171,0.1.111.175,2059790444979211344
0.1.111.176,0.1.111.181,2059790444980211347
0.1.111.182,0.1.111.184,2059790444980211350
0.1.111.186,0.1.111.187,2059790444980211353
0.1.111.189,0.1.111.189,2059790444973211364
0.1.111.190,0.1.111.193,2059790444973211360
0.1.111.194,0.1.111.197,2059790444973211372
0.1.111.199,0.1.111.208,2059790444975211363
0.1.111.210,0.1.111.210,2059790444975211361
0.1.111.211,0.1.111.212,2059790444975211367
0.1.111.214,0.1.111.219,2059790444976211373
0.1.111.220,0.1.111.229,2059790444985211328
0.1.111.230,0.1.111.237,2059790444985211336
0.1.111.238,0.1.111.238,2059790444986211330
0.1.111.240,0.1.111.246,2059790444986211338
0.1.111.247,0.1.111.253,2059793444995211335
0.1.111.254,0.1.112.0,2059793444995211338
0.1.112.1,0.1.112.3,2059793444994211328
0.1.112.5,0.1.112.15,2059793444997211339
0.1.112.17,0.1.112.27,2059793444996211338
